,Title,Published_date,Views,Likes,Month
0,"Telapak Kaki Berlubang dan Bau, Ini Penyebabnya",2023-01-24,184,0,Jan
1,Potret Jimin BTS Ngumpul Bareng Robert Pattinson hingga David Beckham,2023-01-24,2728,111,Jan
2,"Viral! Pernikahan Poligami, Pria Nikah Lagi Ditemani 2 Istri",2023-01-24,310,2,Jan
3,Ashanty Sudah Tahu Identitas Pencuri Tas Mewah Miliknya,2023-01-24,485,13,Jan
4,"Warganet Bagikan Momen Cianjur Diguncang Gempa M 4,3",2023-01-24,937,15,Jan
5,Pesan Menyentuh Agnez Mo untuk Bunda Corla,2023-01-24,1542,37,Jan
6,LIVE! e-Life: Waspada Pelecehan Seksual Pada Laki-laki,2023-01-20,1930,14,Jan
7,"20 Maskapai Paling Aman di Dunia 2023, Indonesia Ada Nggak Ya?",2023-01-19,440,1,Jan
8,Penari Pelajar SMP 1 Ciawi Dipuji Mendikbud Hingga Ditemui Agnez Mo,2023-01-19,47358,963,Jan
9,Momen Lucu Jelang Peresmian Underpass Depok,2023-01-19,1759,5,Jan
10,Begini Nasib Wanita yang Payudaranya Tak Berhenti Tubuh,2023-01-19,12603,127,Jan
11,Momen Jaksa Bergetar dan Seka Mata Saat Bacakan Tuntutan Eliezer,2023-01-19,5354,22,Jan
12,Penampakan Truk Muatan Tanah Tabrak Separator Busway di Gatsu,2023-01-19,927,10,Jan
13,Air Mata Ibu Yosua Kecewa Putri Candrawathi Hanya Dituntut 8 Tahun Penjara,2023-01-19,341,9,Jan
14,"""Emang Bu Putri Selingkuh Ya?""",2023-01-18,3431,37,Jan
15,Momen Pertemuan Kiky Saputri dan Prabowo Subianto,2023-01-18,660,4,Jan
16,"Kecelakaan Truk Beruntun Pagi Ini, Tol Dalkot Sempat Tak Gerak",2023-01-18,7854,87,Jan
17,Jangan Ganggu Tugas Pemadam!,2023-01-18,773,14,Jan
18,'Eliezer's Angels' Penuhi Ruangan PN Jaksel Jelang Sidang Tuntutan Eliezer,2023-01-18,1832,28,Jan
19,"Beredar Video Pemotor Nyangkut di Atap Rumah Magelang, Ko Bisa?",2023-01-18,1493,3,Jan
20,Scaling Gigi Dianjurkan 6 Bulan Sekali. Ini Manfaatnya,2023-01-18,1088,1,Jan
21,"8 Potret Wajah Baru Ivan Gunawan Usai Oplas Hidup, Disebut Mirip Aktor Turki",2023-01-18,540,0,Jan
22,Potret KPK Geledah Ruang Kerja M Taufik di DPRD DKI,2023-01-18,401,4,Jan
23,"Ditangkap Usai Buron 30 Tahun, Bos Mafia Ini Dulunya Tak Segan Main Bom",2023-01-18,2178,14,Jan
24,Dubes RI di Italia M Prakosa Meninggal Dunia,2023-01-18,1058,30,Jan
25,"Syarifah Ima, Fans Sambo yang Bikin Ulah",2023-01-17,6007,55,Jan
26,"Developer Nggak Mau Perbaiki Rumah Rusak Setelah Akad, Dapat Laporkan Kepolisi",2023-01-17,308,0,Jan
27,"Cerita Kejadian Diserang Ferry Irawan, Venna Melinda: Jangan Bunuh Saya!",2023-01-17,1011,1,Jan
28,"Pria di Makassar Diamuk Warga Dikira Penculik Anak, Ternyata Maling HP",2023-01-17,1196,12,Jan
29,Viral Video Ukhti Mengendarai Motor dengan 'Mata Batin',2023-01-17,653,3,Jan
30,Potret Ferry Irawan Berbaju Tahanan Bacakan Surat untuk Venna Melinda,2023-01-17,313,1,Jan
31,"Alami KDRT di Usia 50 Tahun, Venna Melinda Trauma Berat",2023-01-17,321,0,Jan
32,Rumah Dinas Kapolda Papua Hangus Terbakar,2023-01-17,526,1,Jan
33,"Adu Perspektif: Koalisi Partai, Makin Erat atau Bubar?",2023-01-16,32776,192,Jan
34,Sederet Artis Yang Jadi Korban KDRT,2023-01-16,1974,24,Jan
35,8 Potret Beauty Influencer Berkepala Botak Ingin Dobrak Standar Kecantikan,2023-01-16,433,3,Jan
36,Ini Bukti Legendaris Lambang Kesetiaan Cinta Pada Angsa,2023-01-16,1066,19,Jan
37,Belajar Keteguhan dari Anwar Ibrahim,2023-01-13,32821,622,Jan
38,"LIVE e-Life: Pasangan KDRT, Pertahankan atau Lepaskan?",2023-01-13,1107,8,Jan
39,"Gunung Kerinci Terus Erupsi, Tinggi Kolom Abu 600 Meter",2023-01-12,1271,12,Jan
40,Revaldo Ditangkap Lagi Karena Narkoba,2023-01-12,6048,10,Jan
41,Sorotan Sidang Putri Candrawathi yang Diwarnai Tangis dan Debat Panas,2023-01-12,1084,3,Jan
42,Fakta-fakta Sejauh Ini Tentang Penangkapan Lukas Enembe,2023-01-12,346,3,Jan
